frame_time,sean_anger,sean_contempt,sean_disgust,sean_fear,sean_happiness,sean_neutral,sean_sadness,sean_surprise,url
127,0.106891327,0.00596916163,0.007907002,3.57031968e-05,6.855739e-06,0.8536522,0.0244702231,0.00106755726,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___127.jpg
128,0.007472537,8.622115e-05,0.000689866254,1.288202e-05,7.273006e-06,0.7569856,0.2346598,8.57807245e-05,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___128.jpg
129,0.003745939,0.000291176839,0.000607067253,6.44580632e-06,0.000118978605,0.7044559,0.2907533,2.11738e-05,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___129.jpg
130,0.0152860181,0.000215227425,0.00330198929,9.21758e-05,1.51649476e-06,0.7874904,0.191999972,0.00161266245,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___130.jpg
131,0.05345417,0.00139348407,0.0382718034,0.00182179455,2.55790837e-05,0.676338136,0.220764533,0.007930529,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___131.jpg
132,0.006638529,0.0001653907,0.00124151551,2.44510265e-05,1.33918238e-05,0.821847558,0.169621438,0.000447754021,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___132.jpg
133,0.0176294632,0.000904548739,0.0101329926,0.000394881761,9.442136e-06,0.728972852,0.235516354,0.0064394786,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___133.jpg
134,0.0484827347,0.00154782657,0.0218072664,0.0003556767,1.70961375e-05,0.783242166,0.135212839,0.00933441147,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___134.jpg
135,0.160312146,0.002679413,0.0505082831,0.000166444937,0.000191078827,0.6343934,0.004840167,0.146909088,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___135.jpg
136,0.000965871965,2.60160687e-05,9.32875046e-05,7.253794e-07,4.22100868e-07,0.86903125,0.129854962,2.74886133e-05,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___136.jpg
137,0.00753889373,7.775956e-05,0.00114628335,1.95566481e-05,1.13550623e-05,0.810279131,0.180767357,0.000159686213,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___137.jpg
138,0.176891908,0.00250752713,0.05308114,0.00133628072,5.00528768e-06,0.475839645,0.287942171,0.00239633,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___138.jpg
139,0.0188409556,0.000171657681,0.0005204799,1.4272116e-06,6.686132e-07,0.686975658,0.29348132,7.862595e-06,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___139.jpg
140,0.00444282359,7.893349e-06,5.73611578e-05,1.7481139e-07,2.06515509e-07,0.80004704,0.195442781,1.72657587e-06,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___140.jpg
