frame_time,sean_anger,sean_contempt,sean_disgust,sean_fear,sean_happiness,sean_neutral,sean_sadness,sean_surprise,url,date
125,0.002262257,2.48E-05,0.000293118,4.69E-07,8.75E-06,0.686017752,0.311389267,3.53E-06,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___125.jpg,1_23_17
126,0.224144429,0.004832409,0.009236947,0.000561451,4.34E-05,0.741051733,0.012198806,0.007930839,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___126.jpg,1_23_17
127,0.001464094,6.05E-05,0.000423129,1.49E-06,2.52E-05,0.854554355,0.1434474,2.38E-05,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___127.jpg,1_23_17
128,0.009034111,0.004574956,0.000154211,2.12E-07,2.58E-06,0.9850198,0.001199293,1.48E-05,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___128.jpg,1_23_17
129,0.001868698,0.002799534,0.002270148,0.000104606,0.000362726,0.9303896,0.05925808,0.002946634,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___129.jpg,1_23_17
130,0.002832482,0.000425817,0.000968914,7.12E-06,0.000319335,0.8241715,0.171151936,0.000122934,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___130.jpg,1_23_17
131,0.002910287,9.95E-05,0.000223977,7.10E-07,6.24E-06,0.800960958,0.195787191,1.11E-05,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___131.jpg,1_23_17
132,0.000783239,0.000150242,0.000124567,1.49E-07,1.31E-05,0.811558068,0.187368,2.61E-06,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___132.jpg,1_23_17
133,0.001485751,0.000179226,0.000535793,2.46E-06,3.28E-05,0.663561046,0.3341852,1.77E-05,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___133.jpg,1_23_17
134,0.05439956,0.005303184,0.020896493,0.00101479,0.001730292,0.8514121,0.027587712,0.037655823,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___134.jpg,1_23_17
